cif_sha256,split,material_id,formula,recorded_tc_k,crosses_300k
69ce175bc9a31a00c8c374ca8c6e514071b051035d5cdf2750980f4e68388aba,train,1.401_Nd5Pb3,Nd5Pb3,8,False
69ce175bc9a31a00c8c374ca8c6e514071b051035d5cdf2750980f4e68388aba,train,1.402_Nd5Pb3,Nd5Pb3,44,False
15fd01f07815c5907d8396321bd585df4b75efce70aa118cf8e1fd93d98f4bb9,train,1.584_PrFeAsO,PrFeAsO,14,False
15fd01f07815c5907d8396321bd585df4b75efce70aa118cf8e1fd93d98f4bb9,train,1.585_PrFeAsO,PrFeAsO,85,False
15fd01f07815c5907d8396321bd585df4b75efce70aa118cf8e1fd93d98f4bb9,train,1.586_PrFeAsO,PrFeAsO,21,False
1a4e30bcedab545949e69f3423d22a70234e9c47daef446bce46d4f2de181479,train,2.96_GdMn2Si2,Gd(MnSi)2,453,True
1a4e30bcedab545949e69f3423d22a70234e9c47daef446bce46d4f2de181479,train,2.97_GdMn2Si2,Gd(MnSi)2,52,True
3081c4cf855948fe3105d7197ca02b6d93a057c3c11765ac919386f6f64e884b,test,0.550_Mn3ReO6,Mn3ReO6,109,False
3081c4cf855948fe3105d7197ca02b6d93a057c3c11765ac919386f6f64e884b,test,0.551_Mn3ReO6,Mn3ReO6,99,False
2b26f06d6afe6c46ea5729594839bb3ccc3a9aef3b735daae41689c0667503f4,test,0.562_Ce2Ni3Ge5,Ce2Ni3Ge5,8,False
2b26f06d6afe6c46ea5729594839bb3ccc3a9aef3b735daae41689c0667503f4,test,0.565_Ce2Ni3Ge5,Ce2Ni3Ge5,3,False
