record_id,formula,split,legacy_temperature_k,natoms,cif_sha256
0.177_Mn3GaN,Mn3GaN,train,298.0,5,9782b3cd8c6883851ab61e06ae977205d383a1da9e7054b0c6521e03bb26dac9
0.273_Mn3ZnN,Mn3ZnN,train,183.0,5,707a54e94531be77d25b382cd8e55d72bb47914ca2cf3c4bebd47d06930bd139
0.274_Mn4N,Mn4N,train,745.0,5,cffcd0d62aae5c876fd95853384f18079e4524c944556f871095a62d67667ca2
0.275_Mn3AlN,Mn3AlN,train,272.0,5,fda42cf00dc5880792d2089aeae53753d9cc45eeaec5597a9d3099753bccb232
0.74_Mn3Cu0.5Ge0.5N,Mn3CuN,test,380.0,5,41392d128815a53b8f86afaf0da1db451f8c33b9a9bdae550c58db5e3e986680
